Annual Severe Drought Likelihood - (Probability), Year, Model, Statistics, ISO3
0.36293, 2020-2039, canesm2, Annual Anomaly, DZA
0.46358, 2020-2039, ccsm4, Annual Anomaly, DZA
0.3241, 2020-2039, cesm1_bgc, Annual Anomaly, DZA
0.21861, 2020-2039, cesm1_cam5, Annual Anomaly, DZA
0.1554, 2020-2039, cnrm_cm5, Annual Anomaly, DZA
0.12054, 2020-2039, csiro_mk3_6_0, Annual Anomaly, DZA
0.53443, 2020-2039, gfdl_cm3, Annual Anomaly, DZA
0.22265, 2020-2039, gfdl_esm2g, Annual Anomaly, DZA
0.3719, 2020-2039, gfdl_esm2m, Annual Anomaly, DZA
0.23877, 2020-2039, inmcm4, Annual Anomaly, DZA
0.4004, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, DZA
0.30074, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, DZA
0.16022, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, DZA
0.21474, 2020-2039, miroc5, Annual Anomaly, DZA
0.29475, 2020-2039, miroc_esm_chem, Annual Anomaly, DZA
0.40039, 2020-2039, miroc_esm, Annual Anomaly, DZA
0.4845, 2020-2039, mpi_esm_mr, Annual Anomaly, DZA
0.45181, 2020-2039, mri_cgcm3, Annual Anomaly, DZA
0.27519, 2020-2039, noresm1_m, Annual Anomaly, DZA
0.08848, 2020-2039, access1_3, Annual Anomaly, AND
0.21054, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AND
0.24233, 2020-2039, bcc_csm1_1, Annual Anomaly, AND
0.29897, 2020-2039, bnu_esm, Annual Anomaly, AND
0.16344, 2020-2039, canesm2, Annual Anomaly, AND
-0.0115, 2020-2039, ccsm4, Annual Anomaly, AND
0.75191, 2020-2039, cesm1_bgc, Annual Anomaly, AND
0.36151, 2020-2039, cesm1_cam5, Annual Anomaly, AND
0.08364, 2020-2039, cnrm_cm5, Annual Anomaly, AND
0.1962, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AND
0.73841, 2020-2039, gfdl_cm3, Annual Anomaly, AND
0.31055, 2020-2039, gfdl_esm2g, Annual Anomaly, AND
0.4942, 2020-2039, gfdl_esm2m, Annual Anomaly, AND
0.39812, 2020-2039, inmcm4, Annual Anomaly, AND
0.08841, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AND
0.30475, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AND
0.23082, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AND
0.13373, 2020-2039, miroc5, Annual Anomaly, AND
0.53552, 2020-2039, miroc_esm_chem, Annual Anomaly, AND
0.53449, 2020-2039, miroc_esm, Annual Anomaly, AND
0.50675, 2020-2039, mpi_esm_mr, Annual Anomaly, AND
-0.0692, 2020-2039, mri_cgcm3, Annual Anomaly, AND
0.11048, 2020-2039, noresm1_m, Annual Anomaly, AND
0.03507, 2020-2039, access1_3, Annual Anomaly, AGO
0.36256, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AGO
0.08874, 2020-2039, bcc_csm1_1, Annual Anomaly, AGO
0.14041, 2020-2039, bnu_esm, Annual Anomaly, AGO
0.30251, 2020-2039, canesm2, Annual Anomaly, AGO
0.01786, 2020-2039, ccsm4, Annual Anomaly, AGO
0.28704, 2020-2039, cesm1_bgc, Annual Anomaly, AGO
0.03869, 2020-2039, cesm1_cam5, Annual Anomaly, AGO
0.06173, 2020-2039, cnrm_cm5, Annual Anomaly, AGO
0.2519, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AGO
0.44497, 2020-2039, gfdl_cm3, Annual Anomaly, AGO
0.21235, 2020-2039, gfdl_esm2g, Annual Anomaly, AGO
0.06582, 2020-2039, gfdl_esm2m, Annual Anomaly, AGO
0.09318, 2020-2039, inmcm4, Annual Anomaly, AGO
0.02664, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AGO
0.20848, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AGO
0.09739, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AGO
0.0609, 2020-2039, miroc5, Annual Anomaly, AGO
0.0557, 2020-2039, miroc_esm_chem, Annual Anomaly, AGO
0.13466, 2020-2039, miroc_esm, Annual Anomaly, AGO
0.03004, 2020-2039, mpi_esm_mr, Annual Anomaly, AGO
0.0728, 2020-2039, mri_cgcm3, Annual Anomaly, AGO
0.06322, 2020-2039, noresm1_m, Annual Anomaly, AGO
0.1598, 2020-2039, access1_3, Annual Anomaly, ATG
0.2, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ATG
0.34019, 2020-2039, bcc_csm1_1, Annual Anomaly, ATG
0.16029, 2020-2039, bnu_esm, Annual Anomaly, ATG
0.54019, 2020-2039, ccsm4, Annual Anomaly, ATG
0.61029, 2020-2039, cesm1_bgc, Annual Anomaly, ATG
0.2098, 2020-2039, cesm1_cam5, Annual Anomaly, ATG
0.15, 2020-2039, cnrm_cm5, Annual Anomaly, ATG
0.02009, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ATG
0.05, 2020-2039, gfdl_cm3, Annual Anomaly, ATG
0.0598, 2020-2039, gfdl_esm2g, Annual Anomaly, ATG
0.02009, 2020-2039, gfdl_esm2m, Annual Anomaly, ATG
0.1397, 2020-2039, inmcm4, Annual Anomaly, ATG
0.02009, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ATG
0.24019, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ATG
0.0299, 2020-2039, miroc5, Annual Anomaly, ATG
0.07009, 2020-2039, miroc_esm_chem, Annual Anomaly, ATG
0.1799, 2020-2039, miroc_esm, Annual Anomaly, ATG
-0.0299, 2020-2039, mpi_esm_mr, Annual Anomaly, ATG
0.42009, 2020-2039, mri_cgcm3, Annual Anomaly, ATG
0.17009, 2020-2039, noresm1_m, Annual Anomaly, ATG
0.12988, 2020-2039, access1_3, Annual Anomaly, ARG
0.18478, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ARG
0.16683, 2020-2039, bcc_csm1_1, Annual Anomaly, ARG
0.06346, 2020-2039, bnu_esm, Annual Anomaly, ARG
0.1291, 2020-2039, canesm2, Annual Anomaly, ARG
0.06259, 2020-2039, ccsm4, Annual Anomaly, ARG
0.03647, 2020-2039, cesm1_bgc, Annual Anomaly, ARG
0.13746, 2020-2039, cesm1_cam5, Annual Anomaly, ARG
0.09493, 2020-2039, cnrm_cm5, Annual Anomaly, ARG
0.10653, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ARG
0.36065, 2020-2039, gfdl_cm3, Annual Anomaly, ARG
0.26997, 2020-2039, gfdl_esm2g, Annual Anomaly, ARG
0.18407, 2020-2039, gfdl_esm2m, Annual Anomaly, ARG
0.02001, 2020-2039, inmcm4, Annual Anomaly, ARG
0.24562, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ARG
0.17078, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ARG
0.14579, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, ARG
0.17429, 2020-2039, miroc5, Annual Anomaly, ARG
0.15225, 2020-2039, miroc_esm_chem, Annual Anomaly, ARG
0.31164, 2020-2039, miroc_esm, Annual Anomaly, ARG
0.18147, 2020-2039, mpi_esm_mr, Annual Anomaly, ARG
0.07922, 2020-2039, mri_cgcm3, Annual Anomaly, ARG
0.25214, 2020-2039, noresm1_m, Annual Anomaly, ARG
0.02375, 2020-2039, access1_3, Annual Anomaly, ARM
0.23057, 2020-2039, bcc_csm1_1_m, Annual Anomaly, ARM
0.63461, 2020-2039, bcc_csm1_1, Annual Anomaly, ARM
0.06889, 2020-2039, bnu_esm, Annual Anomaly, ARM
0.30672, 2020-2039, canesm2, Annual Anomaly, ARM
0.12689, 2020-2039, ccsm4, Annual Anomaly, ARM
0.25653, 2020-2039, cesm1_bgc, Annual Anomaly, ARM
0.01001, 2020-2039, cesm1_cam5, Annual Anomaly, ARM
0.00898, 2020-2039, cnrm_cm5, Annual Anomaly, ARM
0.38651, 2020-2039, csiro_mk3_6_0, Annual Anomaly, ARM
0.1454, 2020-2039, gfdl_cm3, Annual Anomaly, ARM
0.12705, 2020-2039, gfdl_esm2g, Annual Anomaly, ARM
0.10029, 2020-2039, gfdl_esm2m, Annual Anomaly, ARM
0.23946, 2020-2039, inmcm4, Annual Anomaly, ARM
0.15117, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, ARM
0.18074, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, ARM
0.33461, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, ARM
0.06357, 2020-2039, miroc5, Annual Anomaly, ARM
0.52157, 2020-2039, miroc_esm_chem, Annual Anomaly, ARM
0.07938, 2020-2039, miroc_esm, Annual Anomaly, ARM
0.16601, 2020-2039, mpi_esm_mr, Annual Anomaly, ARM
0.0041, 2020-2039, mri_cgcm3, Annual Anomaly, ARM
0.07532, 2020-2039, noresm1_m, Annual Anomaly, ARM
0.17831, 2020-2039, access1_3, Annual Anomaly, AUS
0.16581, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AUS
0.05682, 2020-2039, bcc_csm1_1, Annual Anomaly, AUS
0.07472, 2020-2039, bnu_esm, Annual Anomaly, AUS
0.07855, 2020-2039, canesm2, Annual Anomaly, AUS
0.08095, 2020-2039, ccsm4, Annual Anomaly, AUS
0.0247, 2020-2039, cesm1_bgc, Annual Anomaly, AUS
0.05186, 2020-2039, cesm1_cam5, Annual Anomaly, AUS
0.06669, 2020-2039, cnrm_cm5, Annual Anomaly, AUS
0.18031, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AUS
0.22155, 2020-2039, gfdl_cm3, Annual Anomaly, AUS
0.17275, 2020-2039, gfdl_esm2g, Annual Anomaly, AUS
0.24054, 2020-2039, gfdl_esm2m, Annual Anomaly, AUS
-0.0143, 2020-2039, inmcm4, Annual Anomaly, AUS
0.4828, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AUS
0.45132, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AUS
0.09536, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AUS
0.09595, 2020-2039, miroc5, Annual Anomaly, AUS
0.18387, 2020-2039, miroc_esm_chem, Annual Anomaly, AUS
0.14296, 2020-2039, miroc_esm, Annual Anomaly, AUS
0.14812, 2020-2039, mpi_esm_mr, Annual Anomaly, AUS
0.12891, 2020-2039, mri_cgcm3, Annual Anomaly, AUS
0.06029, 2020-2039, noresm1_m, Annual Anomaly, AUS
0.04424, 2020-2039, access1_3, Annual Anomaly, AUT
0.10633, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AUT
0.01029, 2020-2039, bcc_csm1_1, Annual Anomaly, AUT
0.12158, 2020-2039, bnu_esm, Annual Anomaly, AUT
-0.0335, 2020-2039, canesm2, Annual Anomaly, AUT
0.20128, 2020-2039, ccsm4, Annual Anomaly, AUT
0.41128, 2020-2039, cesm1_bgc, Annual Anomaly, AUT
0.04539, 2020-2039, cesm1_cam5, Annual Anomaly, AUT
-0.02, 2020-2039, cnrm_cm5, Annual Anomaly, AUT
0.40677, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AUT
0.2447, 2020-2039, gfdl_cm3, Annual Anomaly, AUT
0.0699, 2020-2039, gfdl_esm2g, Annual Anomaly, AUT
-8.0E-4, 2020-2039, gfdl_esm2m, Annual Anomaly, AUT
0.24131, 2020-2039, inmcm4, Annual Anomaly, AUT
0.00399, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AUT
0.37212, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AUT
0.12139, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AUT
0.1614, 2020-2039, miroc5, Annual Anomaly, AUT
0.16853, 2020-2039, miroc_esm_chem, Annual Anomaly, AUT
0.24498, 2020-2039, miroc_esm, Annual Anomaly, AUT
-0.004, 2020-2039, mpi_esm_mr, Annual Anomaly, AUT
0.08697, 2020-2039, mri_cgcm3, Annual Anomaly, AUT
0.01315, 2020-2039, noresm1_m, Annual Anomaly, AUT
0.04294, 2020-2039, access1_3, Annual Anomaly, AZE
0.19751, 2020-2039, bcc_csm1_1_m, Annual Anomaly, AZE
0.49243, 2020-2039, bcc_csm1_1, Annual Anomaly, AZE
0.06854, 2020-2039, bnu_esm, Annual Anomaly, AZE
0.47991, 2020-2039, canesm2, Annual Anomaly, AZE
0.04124, 2020-2039, ccsm4, Annual Anomaly, AZE
0.12613, 2020-2039, cesm1_bgc, Annual Anomaly, AZE
0.06016, 2020-2039, cesm1_cam5, Annual Anomaly, AZE
0.01605, 2020-2039, cnrm_cm5, Annual Anomaly, AZE
0.30713, 2020-2039, csiro_mk3_6_0, Annual Anomaly, AZE
0.14514, 2020-2039, gfdl_cm3, Annual Anomaly, AZE
0.10787, 2020-2039, gfdl_esm2g, Annual Anomaly, AZE
0.0455, 2020-2039, gfdl_esm2m, Annual Anomaly, AZE
0.18245, 2020-2039, inmcm4, Annual Anomaly, AZE
0.09078, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, AZE
0.31765, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, AZE
0.41999, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, AZE
0.16069, 2020-2039, miroc5, Annual Anomaly, AZE
0.28585, 2020-2039, miroc_esm_chem, Annual Anomaly, AZE
0.31283, 2020-2039, miroc_esm, Annual Anomaly, AZE
0.3024, 2020-2039, mpi_esm_mr, Annual Anomaly, AZE
0.05412, 2020-2039, mri_cgcm3, Annual Anomaly, AZE
0.19821, 2020-2039, noresm1_m, Annual Anomaly, AZE
0.00597, 2020-2039, access1_3, Annual Anomaly, BHS
0.29103, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHS
0.34701, 2020-2039, bcc_csm1_1, Annual Anomaly, BHS
0.01494, 2020-2039, bnu_esm, Annual Anomaly, BHS
-0.047, 2020-2039, canesm2, Annual Anomaly, BHS
0.01195, 2020-2039, ccsm4, Annual Anomaly, BHS
-0.041, 2020-2039, cesm1_bgc, Annual Anomaly, BHS
0.1, 2020-2039, cesm1_cam5, Annual Anomaly, BHS
-0.032, 2020-2039, cnrm_cm5, Annual Anomaly, BHS
-0.041, 2020-2039, gfdl_cm3, Annual Anomaly, BHS
0.35298, 2020-2039, gfdl_esm2g, Annual Anomaly, BHS
-0.097, 2020-2039, gfdl_esm2m, Annual Anomaly, BHS
0.14103, 2020-2039, inmcm4, Annual Anomaly, BHS
0.15298, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BHS
-0.035, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BHS
-0.0529, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BHS
0.00298, 2020-2039, miroc5, Annual Anomaly, BHS
0.00896, 2020-2039, miroc_esm_chem, Annual Anomaly, BHS
-0.047, 2020-2039, miroc_esm, Annual Anomaly, BHS
0.00298, 2020-2039, mpi_esm_mr, Annual Anomaly, BHS
0.06792, 2020-2039, mri_cgcm3, Annual Anomaly, BHS
0.1, 2020-2039, noresm1_m, Annual Anomaly, BHS
0.25, 2020-2039, access1_3, Annual Anomaly, BHR
0.49209, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BHR
0.34209, 2020-2039, bcc_csm1_1, Annual Anomaly, BHR
-0.05, 2020-2039, bnu_esm, Annual Anomaly, BHR
0.0579, 2020-2039, canesm2, Annual Anomaly, BHR
0.0579, 2020-2039, ccsm4, Annual Anomaly, BHR
0.1, 2020-2039, cesm1_bgc, Annual Anomaly, BHR
0.25, 2020-2039, cesm1_cam5, Annual Anomaly, BHR
0.2, 2020-2039, cnrm_cm5, Annual Anomaly, BHR
0.65, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BHR
0.09209, 2020-2039, gfdl_cm3, Annual Anomaly, BHR
0.4579, 2020-2039, gfdl_esm2g, Annual Anomaly, BHR
0.1, 2020-2039, gfdl_esm2m, Annual Anomaly, BHR
0.39209, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BHR
0.5, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BHR
0.9079, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BHR
0.22372, 2020-2039, miroc5, Annual Anomaly, BHR
0.35, 2020-2039, miroc_esm, Annual Anomaly, BHR
0.65, 2020-2039, mpi_esm_mr, Annual Anomaly, BHR
0.19209, 2020-2039, mri_cgcm3, Annual Anomaly, BHR
0.05, 2020-2039, noresm1_m, Annual Anomaly, BHR
0.01261, 2020-2039, access1_3, Annual Anomaly, BGD
0.07817, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BGD
0.01172, 2020-2039, bcc_csm1_1, Annual Anomaly, BGD
0.1312, 2020-2039, bnu_esm, Annual Anomaly, BGD
0.1228, 2020-2039, canesm2, Annual Anomaly, BGD
0.19737, 2020-2039, ccsm4, Annual Anomaly, BGD
0.0905, 2020-2039, cesm1_bgc, Annual Anomaly, BGD
0.05178, 2020-2039, cesm1_cam5, Annual Anomaly, BGD
-0.0109, 2020-2039, cnrm_cm5, Annual Anomaly, BGD
0.07992, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BGD
0.04786, 2020-2039, gfdl_cm3, Annual Anomaly, BGD
0.01663, 2020-2039, gfdl_esm2g, Annual Anomaly, BGD
0.03422, 2020-2039, gfdl_esm2m, Annual Anomaly, BGD
-0.0093, 2020-2039, inmcm4, Annual Anomaly, BGD
0.13583, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BGD
0.03042, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BGD
-0.0033, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BGD
0.07027, 2020-2039, miroc5, Annual Anomaly, BGD
0.22243, 2020-2039, miroc_esm_chem, Annual Anomaly, BGD
0.25643, 2020-2039, miroc_esm, Annual Anomaly, BGD
0.17806, 2020-2039, mpi_esm_mr, Annual Anomaly, BGD
-0.0087, 2020-2039, mri_cgcm3, Annual Anomaly, BGD
0.32873, 2020-2039, noresm1_m, Annual Anomaly, BGD
0.34087, 2020-2039, access1_3, Annual Anomaly, BRB
0.12738, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BRB
0.27738, 2020-2039, bcc_csm1_1, Annual Anomaly, BRB
0.1, 2020-2039, bnu_esm, Annual Anomaly, BRB
0.15, 2020-2039, canesm2, Annual Anomaly, BRB
0.1, 2020-2039, ccsm4, Annual Anomaly, BRB
0.29087, 2020-2039, cesm1_bgc, Annual Anomaly, BRB
0.10912, 2020-2039, cesm1_cam5, Annual Anomaly, BRB
0.04087, 2020-2039, cnrm_cm5, Annual Anomaly, BRB
-0.05, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BRB
0.15435, 2020-2039, gfdl_cm3, Annual Anomaly, BRB
-0.0091, 2020-2039, gfdl_esm2g, Annual Anomaly, BRB
-0.1, 2020-2039, gfdl_esm2m, Annual Anomaly, BRB
0.64087, 2020-2039, inmcm4, Annual Anomaly, BRB
0.39087, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BRB
0.26825, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BRB
0.1, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BRB
0.33174, 2020-2039, miroc5, Annual Anomaly, BRB
0.09087, 2020-2039, miroc_esm_chem, Annual Anomaly, BRB
0.15, 2020-2039, miroc_esm, Annual Anomaly, BRB
0.15, 2020-2039, mpi_esm_mr, Annual Anomaly, BRB
0.00912, 2020-2039, mri_cgcm3, Annual Anomaly, BRB
0.15912, 2020-2039, noresm1_m, Annual Anomaly, BRB
0.14471, 2020-2039, access1_3, Annual Anomaly, BLR
-0.0167, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BLR
0.05, 2020-2039, bcc_csm1_1, Annual Anomaly, BLR
0.13142, 2020-2039, bnu_esm, Annual Anomaly, BLR
0.00645, 2020-2039, canesm2, Annual Anomaly, BLR
0.10853, 2020-2039, ccsm4, Annual Anomaly, BLR
0.08042, 2020-2039, cesm1_bgc, Annual Anomaly, BLR
0.21236, 2020-2039, cesm1_cam5, Annual Anomaly, BLR
0.02209, 2020-2039, cnrm_cm5, Annual Anomaly, BLR
0.11227, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BLR
-0.0515, 2020-2039, gfdl_cm3, Annual Anomaly, BLR
-0.0995, 2020-2039, gfdl_esm2g, Annual Anomaly, BLR
0.08001, 2020-2039, gfdl_esm2m, Annual Anomaly, BLR
-0.0424, 2020-2039, inmcm4, Annual Anomaly, BLR
-0.0081, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BLR
0.17508, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BLR
-0.0458, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BLR
0.29683, 2020-2039, miroc5, Annual Anomaly, BLR
0.22149, 2020-2039, miroc_esm_chem, Annual Anomaly, BLR
-0.0253, 2020-2039, miroc_esm, Annual Anomaly, BLR
0.11277, 2020-2039, mpi_esm_mr, Annual Anomaly, BLR
-0.0038, 2020-2039, mri_cgcm3, Annual Anomaly, BLR
0.02511, 2020-2039, noresm1_m, Annual Anomaly, BLR
0.32772, 2020-2039, access1_3, Annual Anomaly, BEL
0.04169, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BEL
0.23028, 2020-2039, bcc_csm1_1, Annual Anomaly, BEL
0.10369, 2020-2039, bnu_esm, Annual Anomaly, BEL
0.08142, 2020-2039, canesm2, Annual Anomaly, BEL
0.29933, 2020-2039, ccsm4, Annual Anomaly, BEL
0.15697, 2020-2039, cesm1_bgc, Annual Anomaly, BEL
0.36414, 2020-2039, cesm1_cam5, Annual Anomaly, BEL
0.15511, 2020-2039, cnrm_cm5, Annual Anomaly, BEL
0.09329, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BEL
0.18143, 2020-2039, gfdl_cm3, Annual Anomaly, BEL
0.2714, 2020-2039, gfdl_esm2g, Annual Anomaly, BEL
0.06199, 2020-2039, gfdl_esm2m, Annual Anomaly, BEL
0.07716, 2020-2039, inmcm4, Annual Anomaly, BEL
0.14764, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BEL
0.15334, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BEL
0.10157, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BEL
0.04388, 2020-2039, miroc5, Annual Anomaly, BEL
0.02996, 2020-2039, miroc_esm_chem, Annual Anomaly, BEL
0.22208, 2020-2039, miroc_esm, Annual Anomaly, BEL
0.22911, 2020-2039, mpi_esm_mr, Annual Anomaly, BEL
0.09818, 2020-2039, mri_cgcm3, Annual Anomaly, BEL
0.05774, 2020-2039, noresm1_m, Annual Anomaly, BEL
0.08838, 2020-2039, access1_3, Annual Anomaly, BLZ
0.37746, 2020-2039, bcc_csm1_1_m, Annual Anomaly, BLZ
0.116, 2020-2039, bcc_csm1_1, Annual Anomaly, BLZ
0.16588, 2020-2039, bnu_esm, Annual Anomaly, BLZ
0.22961, 2020-2039, canesm2, Annual Anomaly, BLZ
0.32839, 2020-2039, ccsm4, Annual Anomaly, BLZ
0.2838, 2020-2039, cesm1_bgc, Annual Anomaly, BLZ
0.13482, 2020-2039, cesm1_cam5, Annual Anomaly, BLZ
-0.1072, 2020-2039, cnrm_cm5, Annual Anomaly, BLZ
-0.0138, 2020-2039, csiro_mk3_6_0, Annual Anomaly, BLZ
0.03283, 2020-2039, gfdl_cm3, Annual Anomaly, BLZ
0.0461, 2020-2039, gfdl_esm2g, Annual Anomaly, BLZ
-0.0178, 2020-2039, gfdl_esm2m, Annual Anomaly, BLZ
0.46867, 2020-2039, inmcm4, Annual Anomaly, BLZ
0.17606, 2020-2039, ipsl_cm5a_lr, Annual Anomaly, BLZ
0.74828, 2020-2039, ipsl_cm5a_mr, Annual Anomaly, BLZ
0.02221, 2020-2039, ipsl_cm5b_lr, Annual Anomaly, BLZ
0.07465, 2020-2039, miroc5, Annual Anomaly, BLZ
-0.0123, 2020-2039, miroc_esm_chem, Annual Anomaly, BLZ
0.03304, 2020-2039, miroc_esm, Annual Anomaly, BLZ
-1.0E-4, 2020-2039, mpi_esm_mr, Annual Anomaly, BLZ
0.23548, 2020-2039, mri_cgcm3, Annual Anomaly, BLZ
0.23935, 2020-2039, noresm1_m, Annual Anomaly, BLZ
0.05283, 2020-2039, access1_3, Annual Anomaly, BEN
